Miasto,Dzielnica,Ulica,Cena,Cena_m2,Powierzchnia,Pokoje,Powierzchnia użytkowa,Piętro_nr,Liczba pięter,Balkon,Rynek,Forma własności,Zaktualizowano,Opublikowano,Typ budynku,Rok budowy,Deweloper,Inwestycja,Wysokość wnętrza,Powierzchnia tarasu,Materiał budowlany,Stan nieruchomości,Liczba sypialni,Typ kuchni,Liczba łazienek,Czy łazienka z WC,Powierzchnia balkonu,Powierzchnia łazienki,Cena do negocjacji,Czy przy mieszkaniu jest ogródek
Warszawa,Mokotów,Bacha,465000.0,10152.84,45.8,2.0,45.8,10.0,10.0,1.0,wtórny,SPÓŁDZIELCZA WŁASNOŚCIOWA Z KW,2020-07-08,2 lipca 2020,BLOK MIESZKALNY,1970.0,,,250.0,,RAMA H,DO ODNOWIENIA,,KUCHNIA ZAMYKANA Z OKNEM,,,,,,
Warszawa,Nowolipki,Nowolipki,635000.0,11869.16,53.5,3.0,53.5,1.0,6.0,,wtórny,,2020-07-07,wczoraj,KAMIENICA,1952.0,,,,,CEGŁA,,,,,,,,,
Warszawa,Żerań,Marywilska 62,329696.0,7809.0,42.22,2.0,42.22,1.0,,,pierwotny,,6 lipca 2020,21 lutego 2020,,2021.0,RONSON DEVELOPMENT SP. Z O.O.,Miasto Moje,,,,,,,,,,,,
Warszawa,Natolin,Sotta,765000.0,9735.3,78.58,4.0,78.58,3.0,4.0,1.0,wtórny,WŁASNOŚĆ,2020-07-07,25 czerwca 2020,APARTAMENTOWIEC,1995.0,,,,,CEGŁA,WYSOKI STANDARD,,,1.0,,,,,
Warszawa,Praga-Południe,Mińska,375000.0,15000.0,25.0,1.0,25.0,2.0,,,wtórny,,22 czerwca 2020,24 czerwca 2020,APARTAMENTOWIEC,,,,,,CEGŁA,BARDZO DOBRY,,,,,,,,
Warszawa,Bielany,Osikowa,420000.0,9130.43,46.0,2.0,46.0,0.0,7.0,1.0,wtórny,,2020-07-07,wczoraj,BLOK MIESZKALNY,1984.0,,,,,RAMA H,,2.0,,,,,,,
Warszawa,Mokotów,Nałęczowska,650000.0,9285.71,70.0,5.0,70.0,8.0,10.0,1.0,wtórny,WŁASNOŚĆ,6 lipca 2020,6 lipca 2020,BLOK,1980.0,,,,,RAMA H,WYSOKI STANDARD,,,2.0,,,,,
Warszawa,Sielce,,618500.0,13159.57,47.0,2.0,47.0,7.0,8.0,1.0,wtórny,WŁASNOŚĆ,3 lipca 2020,24 czerwca 2020,APARTAMENTOWIEC,2017.0,,,,,,DO ZAMIESZKANIA,1.0,ANEKS,,,,,,
Warszawa,Ochota,Racławicka,318000.0,12979.59,24.5,1.0,24.5,3.0,10.0,,wtórny,SPÓŁDZIELCZE WŁASNOŚCIOWE,2 lipca 2020,2 lipca 2020,BLOK,1970.0,,,,,WIELKA PŁYTA,DOBRY,,,,,,,,
Warszawa,Ursus,Posag 7 Panien,502000.0,7363.94,68.17,3.0,68.17,6.0,7.0,1.0,wtórny,WŁASNOŚĆ,25 czerwca 2020,24 czerwca 2020,BLOK,2020.0,,,265.0,,ZRÓŻNICOWANY,DO WYKOŃCZENIA,2.0,ANEKS,,,5.04,,,
Warszawa,Białołęka,Pomorska,232800.0,8771.67,26.54,1.0,26.54,0.0,3.0,,pierwotny,,2020-07-07,29 czerwca 2020,BLOK MIESZKALNY,,,,,,KONSTRUKCJA MIESZANA,,,,,,,,,
