log_ts,departure_time,route_id,trip_id,vehicle_id,vehicle_timestamp,brigade,type,vehicle_trip_id,vehicle_trip_headsign,departure_time_live,stopSequence_live,stop_live,delay,positionData
2022-11-30 14:38:00,54420,127,RA221129/127/TP-BRO/DP/14.41__,3/5964,1669819053000.0,7.0,3.0,RA221129/127/TP-BRO/DP/14.41__,Browarna,54970.0,29.0,Biblioteka Uniwersytecka 02,9.166666666666666,"{'time': 55703.851525128935, 'stopID': '706102', 'stopName': 'Biblioteka Uniwersytecka 02', 'type': 'nextStop', 'stopIdx': 29, 'searchedStopIdx': 17, 'normalizedPercentBetweenStops': 0.19876270940780602, 'delay': 550}"
2022-11-30 14:38:00,54960,521,RA221129/521/TP-FAL-S/DP/15.01,3/9853,1669819052000.0,6.0,3.0,RA221129/521/TP-FAL-S/DP/15.01,Falenica,55403.0,11.0,Grenadierów 02,7.383333333333334,"{'time': 55809.74932978323, 'stopID': '213402', 'stopName': 'Grenadierów 02', 'type': 'nextStop', 'stopIdx': 11, 'searchedStopIdx': 6, 'normalizedPercentBetweenStops': 0.040622207430132, 'delay': 443}"
2022-11-30 14:39:00,53880,517,RA221129/517/TP-CEN/DP/14.19__,3/5249,1669819106000.0,9.0,3.0,RA221129/517/TP-URN/DP/15.14__,Ursus - Niedźwiadek,53880.0,6.0,Dw. Zachodni 02,9.683333333333334,"{'time': 55725.79142328878, 'stopID': '404402', 'stopName': 'Dw. Zachodni 02', 'type': 'nextStop', 'stopIdx': 6, 'searchedStopIdx': -1, 'normalizedPercentBetweenStops': 0.8815951940731611, 'delay': 581}"
2022-11-30 14:39:00,53940,158,RA221129/158/TX-OST/DP/14.45__,3/5900,1669819107000.0,6.0,3.0,RA221129/158/TP-CHR/DP/16.15__,CH Reduta,53940.0,0.0,Witolin 02,0.0,"{'time': 58500, 'stopID': '210502', 'dropOffType': 1, 'stopName': 'Witolin 02', 'type': 'firstStop', 'stopIdx': 0, 'delay': 0}"
2022-11-30 14:39:00,54120,504,RA221129/504/TP-DWC/DP/14.21__,3/8316,1669819112000.0,6.0,3.0,RA221129/504/TP-MKA/DP/15.21__,Os. Kabaty,54120.0,2.0,Pl. Zawiszy 15,14.266666666666667,"{'time': 55456.59959910824, 'stopID': '400115', 'stopName': 'Pl. Zawiszy 15', 'type': 'nextStop', 'stopIdx': 2, 'searchedStopIdx': -1, 'normalizedPercentBetweenStops': 0.055331997027455004, 'delay': 856}"
2022-11-30 14:39:00,54660,157,RA221129/157/TP-GWI/DP/14.57__,3/9447,1669819111000.0,2.0,3.0,RA221129/157/TP-GWI/DP/14.57__,Gwiaździsta,54914.0,23.0,Pl. Inwalidów 02,4.233333333333333,"{'time': 56057.315790619105, 'stopID': '600202', 'stopName': 'Pl. Inwalidów 02', 'type': 'nextStop', 'stopIdx': 23, 'searchedStopIdx': 7, 'normalizedPercentBetweenStops': 0.28859651031842204, 'delay': 254}"
2022-11-30 14:39:00,54420,127,RA221129/127/TP-BRO/DP/14.41__,3/5964,1669819110000.0,7.0,3.0,RA221129/127/TP-BRO/DP/14.41__,Browarna,54930.0,29.0,Biblioteka Uniwersytecka 02,8.5,"{'time': 55800, 'stopID': '706102', 'stopName': 'Biblioteka Uniwersytecka 02', 'stopIdx': 29, 'searchedStopIdx': 17, 'type': 'actualStop', 'delay': 510}"
2022-11-30 14:39:00,54960,521,RA221129/521/TP-FAL-S/DP/15.01,3/9853,1669819109000.0,6.0,3.0,RA221129/521/TP-FAL-S/DP/15.01,Falenica,55382.0,11.0,Grenadierów 02,7.033333333333333,"{'time': 55887.23305802386, 'stopID': '213402', 'stopName': 'Grenadierów 02', 'type': 'nextStop', 'stopIdx': 11, 'searchedStopIdx': 6, 'normalizedPercentBetweenStops': 0.363471075099415, 'delay': 422}"
2022-11-30 14:40:00,53880,517,RA221129/517/TP-CEN/DP/14.19__,3/5249,1669819176000.0,9.0,3.0,RA221129/517/TP-URN/DP/15.14__,Ursus - Niedźwiadek,53880.0,7.0,Berestecka 02,10.283333333333333,"{'time': 55759.255088804464, 'stopID': '405102', 'stopName': 'Berestecka 02', 'type': 'nextStop', 'stopIdx': 7, 'searchedStopIdx': -1, 'normalizedPercentBetweenStops': 0.160459073370565, 'delay': 617}"
2022-11-30 14:40:00,54120,504,RA221129/504/TP-DWC/DP/14.21__,3/8316,1669819180000.0,6.0,3.0,RA221129/504/TP-MKA/DP/15.21__,Os. Kabaty,54120.0,2.0,Pl. Zawiszy 15,14.533333333333333,"{'time': 55508.63564758265, 'stopID': '400115', 'stopName': 'Pl. Zawiszy 15', 'type': 'nextStop', 'stopIdx': 2, 'searchedStopIdx': -1, 'normalizedPercentBetweenStops': 0.22878549194216702, 'delay': 872}"
2022-11-30 14:40:00,54660,157,RA221129/157/TP-GWI/DP/14.57__,3/9447,1669819173000.0,2.0,3.0,RA221129/157/TP-GWI/DP/14.57__,Gwiaździsta,54933.0,23.0,Pl. Inwalidów 02,4.55,"{'time': 56100, 'stopID': '600202', 'stopName': 'Pl. Inwalidów 02', 'stopIdx': 23, 'searchedStopIdx': 7, 'type': 'actualStop', 'delay': 273}"
2022-11-30 14:40:00,54840,158,RA221129/158/TP-OST/DP/15.00__,3/7746,1669819178000.0,5.0,3.0,RA221129/158/TP-OST/DP/15.00__,Witolin,55344.0,17.0,Park Skaryszewski 02,8.4,"{'time': 55874.49136600388, 'stopID': '213202', 'stopName': 'Park Skaryszewski 02', 'type': 'nextStop', 'stopIdx': 17, 'searchedStopIdx': 8, 'normalizedPercentBetweenStops': 0.6207613833656841, 'delay': 504}"
2022-11-30 14:40:00,54960,521,RA221129/521/TP-FAL-S/DP/15.01,3/9853,1669819179000.0,6.0,3.0,RA221129/521/TP-FAL-S/DP/15.01,Falenica,55348.0,11.0,Grenadierów 02,6.466666666666667,"{'time': 55991.11008575069, 'stopID': '213402', 'stopName': 'Grenadierów 02', 'type': 'nextStop', 'stopIdx': 11, 'searchedStopIdx': 6, 'normalizedPercentBetweenStops': 0.796292023961195, 'delay': 388}"
2022-11-30 14:41:00,53880,517,RA221129/517/TP-CEN/DP/14.19__,3/5249,1669819226000.0,9.0,3.0,RA221129/517/TP-URN/DP/15.14__,Ursus - Niedźwiadek,53880.0,7.0,Berestecka 02,11.1,"{'time': 55760.61851619772, 'stopID': '405102', 'stopName': 'Berestecka 02', 'type': 'nextStop', 'stopIdx': 7, 'searchedStopIdx': -1, 'normalizedPercentBetweenStops': 0.171820968314311, 'delay': 666}"
2022-11-30 14:41:00,54120,504,RA221129/504/TP-DWC/DP/14.21__,3/8316,1669819236000.0,6.0,3.0,RA221129/504/TP-MKA/DP/15.21__,Os. Kabaty,54120.0,2.0,Pl. Zawiszy 15,13.8,"{'time': 55608.03873541542, 'stopID': '400115', 'stopName': 'Pl. Zawiszy 15', 'type': 'nextStop', 'stopIdx': 2, 'searchedStopIdx': -1, 'normalizedPercentBetweenStops': 0.5601291180514141, 'delay': 828}"
2022-11-30 14:41:00,54420,127,RA221129/127/TP-BRO/DP/14.41__,3/5964,1669819236000.0,7.0,3.0,RA221129/127/TP-WLO/DP/16.02__,Nowe Włochy,54420.0,0.0,Browarna 02,0.0,"{'time': 57720, 'stopID': '710002', 'dropOffType': 1, 'stopName': 'Browarna 02', 'type': 'firstStop', 'stopIdx': 0, 'delay': 0}"
