id,Cena,Powierzchnia,Liczba pokoi,Rynek,Piętro,Rok budowy,Rodzaj zabudowy,Liczba pięter,Materiał budynku,Ogrzewanie,Stan wykończenia,Forma własności,Okna,Czynsz
ID4d73i,529000.0,42.0,2.0,wtórny,8,1974.0,blok,10.0,,inne,do remontu,pełna własność,drewniane,450 zł
ID4dhWT,863000.0,50.5,2.0,wtórny,1,2020.0,apartamentowiec,5.0,,miejskie,do zamieszkania,pełna własność,plastikowe,465 zł
ID4cmmu,870000.0,74.5,2.0,wtórny,10,2001.0,apartamentowiec,10.0,,,do zamieszkania,pełna własność,aluminiowe,560 zł
ID4d7Sh,689000.0,43.78,2.0,wtórny,3,2009.0,apartamentowiec,3.0,cegła,miejskie,do zamieszkania,pełna własność,drewniane,550 zł
ID36P16,1500000.0,134.1,4.0,wtórny,1,2008.0,apartamentowiec,12.0,żelbet,miejskie,do zamieszkania,pełna własność,plastikowe,990 zł
ID4cpb1,665000.0,50.3,2.0,wtórny,parter,1959.0,,3.0,,,,,,
ID4brZu,2600000.0,115.0,3.0,wtórny,2,2004.0,apartamentowiec,7.0,inne,miejskie,do zamieszkania,pełna własność,,
ID4d4cP,3600000.0,146.0,4.0,wtórny,1,2004.0,apartamentowiec,4.0,pustak,miejskie,do zamieszkania,pełna własność,drewniane,3 000 zł
ID4ddvR,635000.0,38.0,3.0,wtórny,2,1950.0,kamienica,4.0,cegła,miejskie,,pełna własność,,430 zł
ID4bGOk,791800.0,61.46,3.0,pierwotny,4,2022.0,blok,11.0,,miejskie,,,drewniane,
ID4crDg,1990000.0,143.8,4.0,wtórny,4,2000.0,,11.0,,miejskie,,pełna własność,plastikowe,1 000 zł
ID4cxvE,2630000.0,133.45,4.0,pierwotny,8,2020.0,apartamentowiec,8.0,,miejskie,do wykończenia,pełna własność,drewniane,
ID4btki,3200000.0,163.0,5.0,wtórny,5,,apartamentowiec,7.0,,,,,drewniane,1 900 zł
ID4ciDb,1179000.0,84.0,3.0,wtórny,4,2016.0,,7.0,,miejskie,,,drewniane,
ID4avLE,480000.0,39.0,1.0,wtórny,parter,1939.0,blok,3.0,cegła,miejskie,do zamieszkania,,,450 zł
ID4cqVF,879000.0,59.7,3.0,wtórny,8,2010.0,apartamentowiec,12.0,,,,pełna własność,,950 zł
ID4cv15,399000.0,21.0,1.0,wtórny,parter,,kamienica,,cegła,,,pełna własność,plastikowe,300 zł
ID4chrv,495000.0,42.5,2.0,wtórny,2,1972.0,blok,4.0,wielka płyta,miejskie,do zamieszkania,spółdzielcze wł. z KW,plastikowe,550 zł
ID4d6W7,549000.0,42.94,2.0,wtórny,9,1970.0,blok,10.0,inne,miejskie,do zamieszkania,,plastikowe,700 zł
ID4dkWE,1480000.0,138.0,4.0,wtórny,1,,,3.0,,,,,,
ID4cuCN,630000.0,45.0,2.0,wtórny,1,2014.0,apartamentowiec,3.0,,,do zamieszkania,,,
ID43RC7,2990000.0,121.0,3.0,wtórny,1,2002.0,apartamentowiec,4.0,,miejskie,,pełna własność,drewniane,
ID4bBiQ,3800000.0,193.0,5.0,wtórny,5,2005.0,,5.0,cegła,,,spółdzielcze własnościowe,plastikowe,2 700 zł
ID4b43H,620400.0,44.0,2.0,pierwotny,,2021.0,apartamentowiec,10.0,,,do wykończenia,,,
ID4c0Xr,1685000.0,95.0,4.0,wtórny,5,2020.0,apartamentowiec,8.0,,miejskie,do wykończenia,pełna własność,,
ID4ckYn,624000.0,48.0,2.0,wtórny,2,2020.0,apartamentowiec,7.0,inne,miejskie,do zamieszkania,pełna własność,plastikowe,400 zł
ID4dluk,982000.0,62.5,3.0,wtórny,1,2020.0,blok,7.0,inne,miejskie,do zamieszkania,pełna własność,plastikowe,
ID49ICC,3800000.0,144.0,4.0,wtórny,1,2003.0,apartamentowiec,4.0,,,do zamieszkania,pełna własność,drewniane,
ID4dfGi,599000.0,47.0,3.0,wtórny,1,1975.0,,4.0,żelbet,miejskie,do zamieszkania,pełna własność,,
ID4bAg5,595000.0,45.83,2.0,pierwotny,1,2022.0,blok,4.0,inne,,do wykończenia,pełna własność,,
ID4crq3,627000.0,57.0,3.0,wtórny,1,1977.0,blok,15.0,wielka płyta,miejskie,do remontu,pełna własność,plastikowe,480 zł
ID4c3Hj,688000.0,83.0,3.0,pierwotny,1,,blok,,cegła,miejskie,,pełna własność,plastikowe,
